rt,response,locator,time_elapsed,trial,distractor,target,type,id,file
7487,die,NA,203654,9,4,H,known,15,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-392CY0QWG2G4UFY9P4AIICWUPH84II.json
11456,Barbelllike object,NA,216212,10,H,5,unknown,15,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-392CY0QWG2G4UFY9P4AIICWUPH84II.json
7400,Pump,NA,224464,11,K,10,unknown,15,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-392CY0QWG2G4UFY9P4AIICWUPH84II.json
2972,Crab,NA,230038,12,16,N,known,15,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-392CY0QWG2G4UFY9P4AIICWUPH84II.json
9215,Not the fork,NA,241855,13,G,8,unknown,15,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-392CY0QWG2G4UFY9P4AIICWUPH84II.json
3212,Mug,NA,246670,14,2,M,known,15,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-392CY0QWG2G4UFY9P4AIICWUPH84II.json
6781,Spiky dog toy,NA,255304,15,C,1,unknown,15,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-392CY0QWG2G4UFY9P4AIICWUPH84II.json
7144,Spiky dog toy,NA,263799,16,B,1,unknown,15,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-392CY0QWG2G4UFY9P4AIICWUPH84II.json
3006,Spiky dog toy,NA,268907,17,D,1,unknown,15,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-392CY0QWG2G4UFY9P4AIICWUPH84II.json
3792,Apple,NA,274554,18,1,A,known,15,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-392CY0QWG2G4UFY9P4AIICWUPH84II.json
7034.620000049472,birb,NA,94533,1,practiceDistractor1,practiceTarget1,practice,1,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3G5W44VEU87BCQHHK8XV4H8A7RHGK5.json
8968.014999991283,plane,NA,104610,2,practiceDistractor2,practiceTarget2,practice,1,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3G5W44VEU87BCQHHK8XV4H8A7RHGK5.json
3471.8299999367446,die,NA,112702,3,2,H,known,1,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3G5W44VEU87BCQHHK8XV4H8A7RHGK5.json
15917.024999973364,thing that looks like a closed plunger,NA,131726,4,C,10,unknown,1,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3G5W44VEU87BCQHHK8XV4H8A7RHGK5.json
25029.82999989763,circle donut thingy with marshmallow sticks in it,NA,158864,5,J,4,unknown,1,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3G5W44VEU87BCQHHK8XV4H8A7RHGK5.json
7481.565000023693,flutterbye,NA,167452,6,9,K,known,1,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3G5W44VEU87BCQHHK8XV4H8A7RHGK5.json
16165.830000070855,ring with large gem,NA,184726,7,16,F,known,1,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3G5W44VEU87BCQHHK8XV4H8A7RHGK5.json
