rt,response,time_elapsed,trial,distractor,target,type,id
3180.1249999552965,fork,917780,17,1,5,unknown,26
2855.779999983497,pen,921741,19,NA,NA,NA,26
5012.685000081547,sunflower,927861,21,NA,NA,NA,26
3439.5650000078604,sunflower,933906,23,NA,NA,NA,26
3911.850000033155,sunflower,938676,25,NA,NA,NA,26
1921.8549999641255,car,943206,27,NA,NA,NA,26
6736.1399999354035,cactus,951051,29,NA,NA,NA,26
6151.769999996759,plunger,958310,31,NA,NA,NA,26
5861.995000042953,slipper,965526,33,NA,NA,NA,26
6117.075000074692,Gear,972501,35,NA,NA,NA,26
9588.59499997925,Boomerang,983196,37,NA,NA,NA,26
5958.125000004657,Airplane,991761,39,NA,NA,NA,26
6610.444999998435,airplane,999240,41,NA,NA,NA,26
6203.289999975823,chef hat,1006552,43,NA,NA,NA,26
48461.85500000138,bird,73853,1,practiceDistractor1,practiceTarget1,practice,21
29713.940000045113,art,105749,3,H,B,known,21
3773.4450000571087,art,110557,5,G,J,known,21
6835.34500002861,bird,125444,8,L,C,known,21
9465.390000026673,aeroplane,137044,10,C,E,known,21
1709.320000023581,cat,142241,13,1,10,unknown,21
1829.9849999602884,pen,144961,15,2,8,unknown,21
1777.170000015758,tree,148613,17,6,8,unknown,21
1512.9750000778586,car,150993,19,NA,NA,NA,21
2005.115000065416,shoe,153864,21,NA,NA,NA,21
1579.1949999984354,shoe,157312,23,NA,NA,NA,21
1734.080000082031,shoe,160183,25,NA,NA,NA,21
1482.9349999781698,chair,164319,27,NA,NA,NA,21
1942.4850000068545,art,168391,29,NA,NA,NA,21
4312.275000032969,none,174596,31,NA,NA,NA,21
3471.8949999660254,cleaner,179180,33,NA,NA,NA,21
10627.34000000637,art,191701,35,NA,NA,NA,21
21262.489999993704,Monochrome,214090,37,NA,NA,NA,21
1780.1149999722838,Monochrome,217241,39,NA,NA,NA,21
1811.3299999386072,Monochrome,219928,41,NA,NA,NA,21
9133.739999961108,antenna,230423,43,NA,NA,NA,21
7338.7399999191985,bird,28812,1,practiceDistractor1,practiceTarget1,practice,16
8487.350000068545,art,39162,3,L,C,known,16
5122.899999958463,Mike,45942,5,H,D,known,16
119943.34500003606,Bird,173894,8,E,I,known,16
4024.459999985993,airplane,179025,10,I,F,known,16
3110.8199999434873,shoe,184513,13,3,11,unknown,16
2620.065000024624,fork,188745,15,12,4,unknown,16
2064.894999959506,pen,192419,17,1,4,unknown,16
3080.2200000034645,butterfly,197609,19,NA,NA,NA,16
2275.3800000064075,car,201239,21,NA,NA,NA,16
2291.055000037886,car,206639,23,NA,NA,NA,16
1655.7949999114498,car,209400,25,NA,NA,NA,16
2751.604999997653,ring,213509,27,NA,NA,NA,16
17411.044999957085,not sure,233024,29,NA,NA,NA,16
8194.124999921769,shoe,243074,31,NA,NA,NA,16
4045.8749999525025,ball,248475,33,NA,NA,NA,16
7613.6549999937415,instrument,258195,35,NA,NA,NA,16
4438.205000013113,cactus,265739,37,NA,NA,NA,16
3842.479999992065,cactus,271695,39,NA,NA,NA,16
3919.3949999753386,cactus,278220,41,NA,NA,NA,16
5339.9699999718,mirrors,285165,43,NA,NA,NA,16
9756.285000010394,bird,62702,1,practiceDistractor1,practiceTarget1,practice,20
11911.844999995083,art,77957,3,A,I,known,20
10366.855000000214,Dale,91247,5,F,G,known,20
4010.920000000624,bird,103266,8,E,C,known,20
3371.9050000072457,plane,107748,10,C,B,known,20
2415.580000000773,car,113605,13,7,3,unknown,20
2431.2250000075437,tree,116897,15,1,10,unknown,20
1923.1599999766331,fork,119929,17,5,10,unknown,20
2067.6600000006147,dice,123110,19,NA,NA,NA,20
2199.419999989914,shoe,128420,21,NA,NA,NA,20
1735.54999998305,shoe,131763,23,NA,NA,NA,20
1770.8649999985937,shoe,135640,25,NA,NA,NA,20
1515.354999981355,cat,138269,27,NA,NA,NA,20
5644.094999996014,rubber,145274,29,NA,NA,NA,20
7527.094999997644,thin,155910,31,NA,NA,NA,20
3605.844999983674,feather,161123,33,NA,NA,NA,20
3496.7600000090897,cymbal,166479,35,NA,NA,NA,20
4870.479999983218,plunger,173214,37,NA,NA,NA,20
2354.699999996228,plunger,176430,39,NA,NA,NA,20
2438.5350000229664,plunger,180978,41,NA,NA,NA,20
2514.295000000857,spiky,184351,43,NA,NA,NA,20
6742.659999988973,bird,42861,1,practiceDistractor1,practiceTarget1,practice,37
8675.909999990836,art,55136,3,10,6,known,37
4716.32500004489,bob,63983,5,1,2,known,37
4088.5199999902397,bird,76331,8,7,5,known,37
3680.389999994077,airplane,83126,10,5,12,known,37
6756.740000098944,has holes,95297,13,H,J,unknown,37
9948.284999933094,spikes all over,107851,15,G,C,unknown,37
8995.794999995269,ball shaped,117952,17,D,C,unknown,37
4836.654999991879,ribbon,124394,19,NA,NA,NA,37
5475.23999994155,dog bone,132478,21,NA,NA,NA,37
3401.1550000868738,dog bone,137985,23,NA,NA,NA,37
5126.929999911226,dog bone,146217,25,NA,NA,NA,37
3387.999999918975,cymbals,150711,27,NA,NA,NA,37
2605.94499995932,car,154924,29,NA,NA,NA,37
2099.919999949634,cat,158637,31,NA,NA,NA,37
1667.0100000919774,tree,161661,33,NA,NA,NA,37
1871.4850000105798,chair,164388,35,NA,NA,NA,37
1562.5500000314787,shoe,167806,37,NA,NA,NA,37
1643.0800000671297,shoe,172564,39,NA,NA,NA,37
2815.94000000041,the shoe,177989,41,NA,NA,NA,37
2686.764999991283,flower,182301,43,NA,NA,NA,37
