mixed_repeated,order,id,trial,target_type,distractor_type,response,time_elapsed,target,distractor,file,occurrence,switch,negation
unknown repeated,mixed first,4a8d4a93c7c8d655509580968f0b50b2,10,known,unknown,cup,152911,M,16,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/32TZXEA1OL9Q8P4HRVKA2TKHWXV41O-3JWH6J9I9T2GTFU91ZXXVYYHWGSNBN.json,1,switch,FALSE
unknown repeated,mixed first,4a8d4a93c7c8d655509580968f0b50b2,11,unknown,unknown,not the bulb looking thing,164264,6,10,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/32TZXEA1OL9Q8P4HRVKA2TKHWXV41O-3JWH6J9I9T2GTFU91ZXXVYYHWGSNBN.json,1,standard,TRUE
unknown repeated,mixed first,4a8d4a93c7c8d655509580968f0b50b2,12,unknown,unknown,kids toy scramble,173052,21,20,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/32TZXEA1OL9Q8P4HRVKA2TKHWXV41O-3JWH6J9I9T2GTFU91ZXXVYYHWGSNBN.json,1,standard,FALSE
unknown repeated,mixed first,4a8d4a93c7c8d655509580968f0b50b2,13,unknown,unknown,5 holes,183337,24,15,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/32TZXEA1OL9Q8P4HRVKA2TKHWXV41O-3JWH6J9I9T2GTFU91ZXXVYYHWGSNBN.json,1,standard,FALSE
unknown repeated,mixed first,4a8d4a93c7c8d655509580968f0b50b2,14,unknown,unknown,knobby balls,193589,1,27,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/32TZXEA1OL9Q8P4HRVKA2TKHWXV41O-3JWH6J9I9T2GTFU91ZXXVYYHWGSNBN.json,1,standard,FALSE
unknown repeated,mixed first,4a8d4a93c7c8d655509580968f0b50b2,15,unknown,unknown,white hat,202102,3,25,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/32TZXEA1OL9Q8P4HRVKA2TKHWXV41O-3JWH6J9I9T2GTFU91ZXXVYYHWGSNBN.json,1,standard,FALSE
unknown repeated,mixed first,4a8d4a93c7c8d655509580968f0b50b2,16,unknown,unknown,white hat,210307,3,22,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/32TZXEA1OL9Q8P4HRVKA2TKHWXV41O-3JWH6J9I9T2GTFU91ZXXVYYHWGSNBN.json,2,standard,FALSE
unknown repeated,mixed first,4a8d4a93c7c8d655509580968f0b50b2,17,unknown,unknown,white hat,218549,3,26,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/32TZXEA1OL9Q8P4HRVKA2TKHWXV41O-3JWH6J9I9T2GTFU91ZXXVYYHWGSNBN.json,3,standard,FALSE
unknown repeated,mixed first,4a8d4a93c7c8d655509580968f0b50b2,18,unknown,unknown,3prong toy,230613,9,3,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/32TZXEA1OL9Q8P4HRVKA2TKHWXV41O-3JWH6J9I9T2GTFU91ZXXVYYHWGSNBN.json,1,switch,FALSE
unknown repeated,mixed first,4bdae86508dbfe9c820c2014dda7d9e8,3,unknown,known,object,124276,25,D,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3E6L1VR4XWBVDR23HISAOT8PTYK6FC-3Z4AIRP3C72KSBQL18RHNOC6CIH1X8.json,1,standard,FALSE
unknown repeated,mixed first,4bdae86508dbfe9c820c2014dda7d9e8,4,known,unknown,crab,134656,N,2,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3E6L1VR4XWBVDR23HISAOT8PTYK6FC-3Z4AIRP3C72KSBQL18RHNOC6CIH1X8.json,1,standard,FALSE
unknown repeated,mixed first,4bdae86508dbfe9c820c2014dda7d9e8,5,unknown,known,plastic,144847,11,G,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3E6L1VR4XWBVDR23HISAOT8PTYK6FC-3Z4AIRP3C72KSBQL18RHNOC6CIH1X8.json,1,standard,FALSE
unknown repeated,mixed first,4bdae86508dbfe9c820c2014dda7d9e8,6,known,unknown,chair,152457,E,7,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3E6L1VR4XWBVDR23HISAOT8PTYK6FC-3Z4AIRP3C72KSBQL18RHNOC6CIH1X8.json,1,standard,FALSE
unknown repeated,mixed first,4bdae86508dbfe9c820c2014dda7d9e8,7,unknown,known,corona,165870,1,B,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3E6L1VR4XWBVDR23HISAOT8PTYK6FC-3Z4AIRP3C72KSBQL18RHNOC6CIH1X8.json,1,standard,FALSE
unknown repeated,mixed first,4bdae86508dbfe9c820c2014dda7d9e8,8,unknown,known,corona,173361,1,J,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3E6L1VR4XWBVDR23HISAOT8PTYK6FC-3Z4AIRP3C72KSBQL18RHNOC6CIH1X8.json,2,standard,FALSE
unknown repeated,mixed first,4bdae86508dbfe9c820c2014dda7d9e8,9,unknown,known,corona,182221,1,C,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3E6L1VR4XWBVDR23HISAOT8PTYK6FC-3Z4AIRP3C72KSBQL18RHNOC6CIH1X8.json,3,standard,FALSE
unknown repeated,mixed first,4bdae86508dbfe9c820c2014dda7d9e8,10,known,unknown,butterfly,190980,K,1,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3E6L1VR4XWBVDR23HISAOT8PTYK6FC-3Z4AIRP3C72KSBQL18RHNOC6CIH1X8.json,1,switch,FALSE
unknown repeated,mixed first,4bdae86508dbfe9c820c2014dda7d9e8,11,unknown,unknown,crushed plastic,206758,8,27,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3E6L1VR4XWBVDR23HISAOT8PTYK6FC-3Z4AIRP3C72KSBQL18RHNOC6CIH1X8.json,1,standard,FALSE
unknown repeated,mixed first,4bdae86508dbfe9c820c2014dda7d9e8,12,unknown,unknown,toy,218787,9,24,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3E6L1VR4XWBVDR23HISAOT8PTYK6FC-3Z4AIRP3C72KSBQL18RHNOC6CIH1X8.json,1,standard,FALSE
unknown repeated,mixed first,4bdae86508dbfe9c820c2014dda7d9e8,13,unknown,unknown,sponge toy,239665,4,15,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3E6L1VR4XWBVDR23HISAOT8PTYK6FC-3Z4AIRP3C72KSBQL18RHNOC6CIH1X8.json,1,standard,FALSE
unknown repeated,mixed first,4bdae86508dbfe9c820c2014dda7d9e8,14,unknown,unknown,spentackle,256399,19,10,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3E6L1VR4XWBVDR23HISAOT8PTYK6FC-3Z4AIRP3C72KSBQL18RHNOC6CIH1X8.json,1,standard,FALSE
unknown repeated,mixed first,4bdae86508dbfe9c820c2014dda7d9e8,15,unknown,unknown,toy,268483,17,22,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3E6L1VR4XWBVDR23HISAOT8PTYK6FC-3Z4AIRP3C72KSBQL18RHNOC6CIH1X8.json,1,standard,FALSE
unknown repeated,mixed first,4bdae86508dbfe9c820c2014dda7d9e8,16,unknown,unknown,toy,276445,17,23,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3E6L1VR4XWBVDR23HISAOT8PTYK6FC-3Z4AIRP3C72KSBQL18RHNOC6CIH1X8.json,2,standard,FALSE
unknown repeated,mixed first,4bdae86508dbfe9c820c2014dda7d9e8,17,unknown,unknown,toy,284699,17,18,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3E6L1VR4XWBVDR23HISAOT8PTYK6FC-3Z4AIRP3C72KSBQL18RHNOC6CIH1X8.json,3,standard,FALSE
unknown repeated,mixed first,4bdae86508dbfe9c820c2014dda7d9e8,18,unknown,unknown,cloth,298218,3,17,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3E6L1VR4XWBVDR23HISAOT8PTYK6FC-3Z4AIRP3C72KSBQL18RHNOC6CIH1X8.json,1,switch,FALSE
unknown repeated,mixed first,4dc417ad49d84fc8f36111b57759b78a,3,unknown,known,machine part,371799,9,C,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3TTPFEFXCT9FRNT9C8GAREK29DX6HA-3NL0RFNU0GCV0AOXP7VUVSB7ST44KR.json,1,standard,FALSE
unknown repeated,mixed first,4dc417ad49d84fc8f36111b57759b78a,4,known,unknown,cup,387504,M,20,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3TTPFEFXCT9FRNT9C8GAREK29DX6HA-3NL0RFNU0GCV0AOXP7VUVSB7ST44KR.json,1,standard,FALSE
unknown repeated,mixed first,4dc417ad49d84fc8f36111b57759b78a,5,unknown,known,insect,412795,19,N,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3TTPFEFXCT9FRNT9C8GAREK29DX6HA-3NL0RFNU0GCV0AOXP7VUVSB7ST44KR.json,1,standard,FALSE
unknown repeated,mixed first,4dc417ad49d84fc8f36111b57759b78a,6,known,unknown,fork,422746,G,23,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3TTPFEFXCT9FRNT9C8GAREK29DX6HA-3NL0RFNU0GCV0AOXP7VUVSB7ST44KR.json,1,standard,FALSE
unknown repeated,mixed first,4dc417ad49d84fc8f36111b57759b78a,7,unknown,known,toy part,462623,27,A,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3TTPFEFXCT9FRNT9C8GAREK29DX6HA-3NL0RFNU0GCV0AOXP7VUVSB7ST44KR.json,1,standard,FALSE
unknown repeated,mixed first,4dc417ad49d84fc8f36111b57759b78a,8,unknown,known,toy part,475880,27,K,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3TTPFEFXCT9FRNT9C8GAREK29DX6HA-3NL0RFNU0GCV0AOXP7VUVSB7ST44KR.json,2,standard,FALSE
unknown repeated,mixed first,4dc417ad49d84fc8f36111b57759b78a,9,unknown,known,toy part,496089,27,B,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3TTPFEFXCT9FRNT9C8GAREK29DX6HA-3NL0RFNU0GCV0AOXP7VUVSB7ST44KR.json,3,standard,FALSE
unknown repeated,mixed first,4dc417ad49d84fc8f36111b57759b78a,10,known,unknown,petal,509254,L,27,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3TTPFEFXCT9FRNT9C8GAREK29DX6HA-3NL0RFNU0GCV0AOXP7VUVSB7ST44KR.json,1,switch,FALSE
unknown repeated,mixed first,4dc417ad49d84fc8f36111b57759b78a,11,unknown,unknown,machine part,524650,6,21,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3TTPFEFXCT9FRNT9C8GAREK29DX6HA-3NL0RFNU0GCV0AOXP7VUVSB7ST44KR.json,1,standard,FALSE
unknown repeated,mixed first,4dc417ad49d84fc8f36111b57759b78a,12,unknown,unknown,art,534500,3,5,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3TTPFEFXCT9FRNT9C8GAREK29DX6HA-3NL0RFNU0GCV0AOXP7VUVSB7ST44KR.json,1,standard,FALSE
unknown repeated,mixed first,4dc417ad49d84fc8f36111b57759b78a,13,unknown,unknown,machine part,579605,12,26,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3TTPFEFXCT9FRNT9C8GAREK29DX6HA-3NL0RFNU0GCV0AOXP7VUVSB7ST44KR.json,1,standard,FALSE
unknown repeated,mixed first,4dc417ad49d84fc8f36111b57759b78a,14,unknown,unknown,toy,590824,15,8,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3TTPFEFXCT9FRNT9C8GAREK29DX6HA-3NL0RFNU0GCV0AOXP7VUVSB7ST44KR.json,1,standard,FALSE
unknown repeated,mixed first,4dc417ad49d84fc8f36111b57759b78a,15,unknown,unknown,machine part,608758,18,1,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3TTPFEFXCT9FRNT9C8GAREK29DX6HA-3NL0RFNU0GCV0AOXP7VUVSB7ST44KR.json,1,standard,FALSE
unknown repeated,mixed first,4dc417ad49d84fc8f36111b57759b78a,16,unknown,unknown,machine part,621532,18,4,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3TTPFEFXCT9FRNT9C8GAREK29DX6HA-3NL0RFNU0GCV0AOXP7VUVSB7ST44KR.json,2,standard,FALSE
unknown repeated,mixed first,4dc417ad49d84fc8f36111b57759b78a,17,unknown,unknown,machine part,639024,18,16,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3TTPFEFXCT9FRNT9C8GAREK29DX6HA-3NL0RFNU0GCV0AOXP7VUVSB7ST44KR.json,3,standard,FALSE
unknown repeated,mixed first,4dc417ad49d84fc8f36111b57759b78a,18,unknown,unknown,hanger,658026,25,18,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3TTPFEFXCT9FRNT9C8GAREK29DX6HA-3NL0RFNU0GCV0AOXP7VUVSB7ST44KR.json,1,switch,FALSE
unknown repeated,mixed first,4f0e42d648ab61a0fa37c16c4b2a9acc,3,unknown,known,sphere,177324,21,I,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3D7VY91L65M7PDBFZWDVUZEQ407BM9-34J10VATJGNBJKL7N1HVLFXZWHXIQC.json,1,standard,FALSE
unknown repeated,mixed first,4f0e42d648ab61a0fa37c16c4b2a9acc,4,known,unknown,butterfly,188783,K,2,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3D7VY91L65M7PDBFZWDVUZEQ407BM9-34J10VATJGNBJKL7N1HVLFXZWHXIQC.json,1,standard,FALSE
unknown repeated,mixed first,4f0e42d648ab61a0fa37c16c4b2a9acc,5,unknown,known,Surfing,211620,7,D,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3D7VY91L65M7PDBFZWDVUZEQ407BM9-34J10VATJGNBJKL7N1HVLFXZWHXIQC.json,1,standard,FALSE
unknown repeated,mixed first,4f0e42d648ab61a0fa37c16c4b2a9acc,6,known,unknown,cat,226600,B,16,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3D7VY91L65M7PDBFZWDVUZEQ407BM9-34J10VATJGNBJKL7N1HVLFXZWHXIQC.json,1,standard,FALSE
unknown repeated,mixed first,4f0e42d648ab61a0fa37c16c4b2a9acc,7,unknown,known,Circular saw,255400,1,N,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3D7VY91L65M7PDBFZWDVUZEQ407BM9-34J10VATJGNBJKL7N1HVLFXZWHXIQC.json,1,standard,FALSE
unknown repeated,mixed first,4f0e42d648ab61a0fa37c16c4b2a9acc,8,unknown,known,Circular saw,267558,1,E,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3D7VY91L65M7PDBFZWDVUZEQ407BM9-34J10VATJGNBJKL7N1HVLFXZWHXIQC.json,2,standard,FALSE
unknown repeated,mixed first,4f0e42d648ab61a0fa37c16c4b2a9acc,9,unknown,known,Circular saw,278989,1,H,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3D7VY91L65M7PDBFZWDVUZEQ407BM9-34J10VATJGNBJKL7N1HVLFXZWHXIQC.json,3,standard,FALSE
unknown repeated,mixed first,4f0e42d648ab61a0fa37c16c4b2a9acc,10,known,unknown,apple,289807,A,1,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3D7VY91L65M7PDBFZWDVUZEQ407BM9-34J10VATJGNBJKL7N1HVLFXZWHXIQC.json,1,switch,FALSE
unknown repeated,mixed first,4f0e42d648ab61a0fa37c16c4b2a9acc,11,unknown,unknown,sitting,356819,27,4,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3D7VY91L65M7PDBFZWDVUZEQ407BM9-34J10VATJGNBJKL7N1HVLFXZWHXIQC.json,1,standard,FALSE
unknown repeated,mixed first,4f0e42d648ab61a0fa37c16c4b2a9acc,12,unknown,unknown,dumbbell,380398,9,22,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3D7VY91L65M7PDBFZWDVUZEQ407BM9-34J10VATJGNBJKL7N1HVLFXZWHXIQC.json,1,standard,FALSE
unknown repeated,mixed first,4f0e42d648ab61a0fa37c16c4b2a9acc,13,unknown,unknown,reptile,405989,10,15,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3D7VY91L65M7PDBFZWDVUZEQ407BM9-34J10VATJGNBJKL7N1HVLFXZWHXIQC.json,1,standard,FALSE
unknown repeated,mixed first,4f0e42d648ab61a0fa37c16c4b2a9acc,14,unknown,unknown,wire,427439,17,24,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3D7VY91L65M7PDBFZWDVUZEQ407BM9-34J10VATJGNBJKL7N1HVLFXZWHXIQC.json,1,standard,FALSE
unknown repeated,mixed first,4f0e42d648ab61a0fa37c16c4b2a9acc,15,unknown,unknown,Bolt cutter,447331,25,8,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3D7VY91L65M7PDBFZWDVUZEQ407BM9-34J10VATJGNBJKL7N1HVLFXZWHXIQC.json,1,standard,FALSE
unknown repeated,mixed first,4f0e42d648ab61a0fa37c16c4b2a9acc,16,unknown,unknown,Bolt cutter,466260,25,18,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3D7VY91L65M7PDBFZWDVUZEQ407BM9-34J10VATJGNBJKL7N1HVLFXZWHXIQC.json,2,standard,FALSE
unknown repeated,mixed first,4f0e42d648ab61a0fa37c16c4b2a9acc,17,unknown,unknown,Bolt cutter,474937,25,19,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3D7VY91L65M7PDBFZWDVUZEQ407BM9-34J10VATJGNBJKL7N1HVLFXZWHXIQC.json,3,standard,FALSE
unknown repeated,mixed first,4f0e42d648ab61a0fa37c16c4b2a9acc,18,unknown,unknown,kritam,494869,3,25,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3D7VY91L65M7PDBFZWDVUZEQ407BM9-34J10VATJGNBJKL7N1HVLFXZWHXIQC.json,1,switch,FALSE
unknown repeated,mixed first,55068524c66095eb9d8fa0168bf82637,3,unknown,known,art,246131,5,K,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3SV8KD29L4H8HNESKYGI14TP6YXZKX-3IX2EGZR7C87QWKDIYRV26M45IURJ4.json,1,standard,FALSE
unknown repeated,mixed first,55068524c66095eb9d8fa0168bf82637,4,known,unknown,art,255068,H,19,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3SV8KD29L4H8HNESKYGI14TP6YXZKX-3IX2EGZR7C87QWKDIYRV26M45IURJ4.json,1,standard,FALSE
unknown repeated,mixed first,55068524c66095eb9d8fa0168bf82637,5,unknown,known,art,270775,11,C,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3SV8KD29L4H8HNESKYGI14TP6YXZKX-3IX2EGZR7C87QWKDIYRV26M45IURJ4.json,1,standard,FALSE
unknown repeated,mixed first,55068524c66095eb9d8fa0168bf82637,6,known,unknown,crab,287149,N,26,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3SV8KD29L4H8HNESKYGI14TP6YXZKX-3IX2EGZR7C87QWKDIYRV26M45IURJ4.json,1,standard,FALSE
unknown repeated,mixed first,55068524c66095eb9d8fa0168bf82637,7,unknown,known,art,296648,16,F,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3SV8KD29L4H8HNESKYGI14TP6YXZKX-3IX2EGZR7C87QWKDIYRV26M45IURJ4.json,1,standard,FALSE
unknown repeated,mixed first,55068524c66095eb9d8fa0168bf82637,8,unknown,known,art,307699,16,L,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3SV8KD29L4H8HNESKYGI14TP6YXZKX-3IX2EGZR7C87QWKDIYRV26M45IURJ4.json,2,standard,FALSE
unknown repeated,mixed first,55068524c66095eb9d8fa0168bf82637,9,unknown,known,art,341419,16,D,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3SV8KD29L4H8HNESKYGI14TP6YXZKX-3IX2EGZR7C87QWKDIYRV26M45IURJ4.json,3,standard,FALSE
unknown repeated,mixed first,55068524c66095eb9d8fa0168bf82637,10,known,unknown,tree,349450,J,16,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3SV8KD29L4H8HNESKYGI14TP6YXZKX-3IX2EGZR7C87QWKDIYRV26M45IURJ4.json,1,switch,FALSE
unknown repeated,mixed first,55068524c66095eb9d8fa0168bf82637,11,unknown,unknown,art,358300,25,1,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3SV8KD29L4H8HNESKYGI14TP6YXZKX-3IX2EGZR7C87QWKDIYRV26M45IURJ4.json,1,standard,FALSE
unknown repeated,mixed first,55068524c66095eb9d8fa0168bf82637,12,unknown,unknown,art,366387,2,7,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3SV8KD29L4H8HNESKYGI14TP6YXZKX-3IX2EGZR7C87QWKDIYRV26M45IURJ4.json,1,standard,FALSE
unknown repeated,mixed first,55068524c66095eb9d8fa0168bf82637,13,unknown,unknown,art,377923,22,23,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3SV8KD29L4H8HNESKYGI14TP6YXZKX-3IX2EGZR7C87QWKDIYRV26M45IURJ4.json,1,standard,FALSE
unknown repeated,mixed first,55068524c66095eb9d8fa0168bf82637,14,unknown,unknown,art,405478,27,8,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3SV8KD29L4H8HNESKYGI14TP6YXZKX-3IX2EGZR7C87QWKDIYRV26M45IURJ4.json,1,standard,FALSE
unknown repeated,mixed first,55068524c66095eb9d8fa0168bf82637,15,unknown,unknown,art,413574,9,18,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3SV8KD29L4H8HNESKYGI14TP6YXZKX-3IX2EGZR7C87QWKDIYRV26M45IURJ4.json,1,standard,FALSE
unknown repeated,mixed first,55068524c66095eb9d8fa0168bf82637,16,unknown,unknown,art,423354,9,17,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3SV8KD29L4H8HNESKYGI14TP6YXZKX-3IX2EGZR7C87QWKDIYRV26M45IURJ4.json,2,standard,FALSE
unknown repeated,mixed first,55068524c66095eb9d8fa0168bf82637,17,unknown,unknown,art,433278,9,21,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3SV8KD29L4H8HNESKYGI14TP6YXZKX-3IX2EGZR7C87QWKDIYRV26M45IURJ4.json,3,standard,FALSE
unknown repeated,mixed first,55068524c66095eb9d8fa0168bf82637,18,unknown,unknown,art,443175,24,9,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/3SV8KD29L4H8HNESKYGI14TP6YXZKX-3IX2EGZR7C87QWKDIYRV26M45IURJ4.json,1,switch,FALSE
unknown repeated,mixed first,5c2058f8a5ed740d761c6cf497cf1bcf,3,unknown,known,toy jet,91089,16,L,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/38LRF35D5LLLZQCBT5PB3QX8TUWU3S-3G2UL9A02E3LKILRP1Z0OLQZI0A678.json,1,standard,FALSE
unknown repeated,mixed first,5c2058f8a5ed740d761c6cf497cf1bcf,4,known,unknown,childrens shoe,102968,C,11,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/38LRF35D5LLLZQCBT5PB3QX8TUWU3S-3G2UL9A02E3LKILRP1Z0OLQZI0A678.json,1,standard,FALSE
unknown repeated,mixed first,5c2058f8a5ed740d761c6cf497cf1bcf,5,unknown,known,plumbing tool,114226,10,E,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/38LRF35D5LLLZQCBT5PB3QX8TUWU3S-3G2UL9A02E3LKILRP1Z0OLQZI0A678.json,1,standard,FALSE
unknown repeated,mixed first,5c2058f8a5ed740d761c6cf497cf1bcf,6,known,unknown,fork,120783,G,2,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/38LRF35D5LLLZQCBT5PB3QX8TUWU3S-3G2UL9A02E3LKILRP1Z0OLQZI0A678.json,1,standard,FALSE
unknown repeated,mixed first,5c2058f8a5ed740d761c6cf497cf1bcf,7,unknown,known,baby toy,128991,9,I,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/38LRF35D5LLLZQCBT5PB3QX8TUWU3S-3G2UL9A02E3LKILRP1Z0OLQZI0A678.json,1,standard,FALSE
unknown repeated,mixed first,5c2058f8a5ed740d761c6cf497cf1bcf,8,unknown,known,baby toy,138141,9,A,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/38LRF35D5LLLZQCBT5PB3QX8TUWU3S-3G2UL9A02E3LKILRP1Z0OLQZI0A678.json,2,standard,FALSE
unknown repeated,mixed first,5c2058f8a5ed740d761c6cf497cf1bcf,9,unknown,known,toy,145769,9,M,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/38LRF35D5LLLZQCBT5PB3QX8TUWU3S-3G2UL9A02E3LKILRP1Z0OLQZI0A678.json,3,standard,FALSE
unknown repeated,mixed first,5c2058f8a5ed740d761c6cf497cf1bcf,10,known,unknown,tree,153539,J,9,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/38LRF35D5LLLZQCBT5PB3QX8TUWU3S-3G2UL9A02E3LKILRP1Z0OLQZI0A678.json,1,switch,FALSE
unknown repeated,mixed first,5c2058f8a5ed740d761c6cf497cf1bcf,11,unknown,unknown,curved tool,163739,7,19,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/2/production-results/38LRF35D5LLLZQCBT5PB3QX8TUWU3S-3G2UL9A02E3LKILRP1Z0OLQZI0A678.json,1,standard,FALSE
