mixed_repeated,order,id,trial,target_type,distractor_type,response,time_elapsed,target,distractor,file,occurrence,switch,negation
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,13,unknown,unknown,flaps,166242,8,6,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3511RHPADV3AZ2AJVHY6U145MHJRLZ-3X0H8UUIT2D5XVKP4MAFH6L8TGFSWH.json,1,standard,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,14,unknown,unknown,toy,173869,5,10,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3511RHPADV3AZ2AJVHY6U145MHJRLZ-3X0H8UUIT2D5XVKP4MAFH6L8TGFSWH.json,1,standard,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,15,unknown,unknown,gray,185096,12,18,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3511RHPADV3AZ2AJVHY6U145MHJRLZ-3X0H8UUIT2D5XVKP4MAFH6L8TGFSWH.json,1,standard,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,16,unknown,unknown,flat,195083,12,19,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3511RHPADV3AZ2AJVHY6U145MHJRLZ-3X0H8UUIT2D5XVKP4MAFH6L8TGFSWH.json,2,standard,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,17,unknown,unknown,flat,202091,12,1,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3511RHPADV3AZ2AJVHY6U145MHJRLZ-3X0H8UUIT2D5XVKP4MAFH6L8TGFSWH.json,3,standard,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,18,unknown,unknown,circle,208357,22,12,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3511RHPADV3AZ2AJVHY6U145MHJRLZ-3X0H8UUIT2D5XVKP4MAFH6L8TGFSWH.json,1,switch,FALSE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,3,known,unknown,shoe,84478,C,19,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3C2NJ6JBKB6M52UDI64MU5VD2AK2N5.json,1,standard,FALSE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,4,unknown,known,not the pen,94866,18,D,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3C2NJ6JBKB6M52UDI64MU5VD2AK2N5.json,1,standard,TRUE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,5,unknown,known,not the chair,105288,17,E,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3C2NJ6JBKB6M52UDI64MU5VD2AK2N5.json,1,standard,TRUE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,6,known,unknown,car,113154,I,24,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3C2NJ6JBKB6M52UDI64MU5VD2AK2N5.json,1,standard,FALSE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,7,known,unknown,flower,120107,L,11,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3C2NJ6JBKB6M52UDI64MU5VD2AK2N5.json,1,standard,FALSE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,8,known,unknown,flower,128688,L,1,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3C2NJ6JBKB6M52UDI64MU5VD2AK2N5.json,2,standard,FALSE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,9,known,unknown,flower,136406,L,21,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3C2NJ6JBKB6M52UDI64MU5VD2AK2N5.json,3,standard,FALSE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,10,unknown,known,not the flower,145264,26,L,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3C2NJ6JBKB6M52UDI64MU5VD2AK2N5.json,1,switch,TRUE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,11,unknown,unknown,stick plunger,159266,10,12,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3C2NJ6JBKB6M52UDI64MU5VD2AK2N5.json,1,standard,FALSE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,12,unknown,unknown,4 tails,169730,4,20,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3C2NJ6JBKB6M52UDI64MU5VD2AK2N5.json,1,standard,FALSE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,13,unknown,unknown,loopty loop,181508,7,3,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3C2NJ6JBKB6M52UDI64MU5VD2AK2N5.json,1,standard,FALSE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,14,unknown,unknown,forkinstrument,193490,25,8,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3C2NJ6JBKB6M52UDI64MU5VD2AK2N5.json,1,standard,FALSE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,15,unknown,unknown,not the spiky ring,203940,2,22,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3C2NJ6JBKB6M52UDI64MU5VD2AK2N5.json,1,standard,TRUE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,16,unknown,unknown,vasecontainer,216549,2,5,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3C2NJ6JBKB6M52UDI64MU5VD2AK2N5.json,2,standard,FALSE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,17,unknown,unknown,vasecontainer,227098,2,15,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3C2NJ6JBKB6M52UDI64MU5VD2AK2N5.json,3,standard,FALSE
known repeated,mixed first,04c6952d0df13f847d33a920c21267d4,18,unknown,unknown,not the vasecontainer,237738,6,2,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3C2NJ6JBKB6M52UDI64MU5VD2AK2N5.json,1,switch,TRUE
