rt,response,time_elapsed,trial,distractor,target,type,id
25434.370000002673,4 waved shape,275180,15,4,3,unknown,38
5660.644999996293,4 waved shape,280947,16,9,3,unknown,38
5393.405000009807,4 waved shape,286447,17,10,3,unknown,38
84284.25499999139,long piece with loop on top,370837,18,3,7,unknown,38
7445.089999999254,bird,61722,1,practiceDistractor1,practiceTarget1,practice,5
1946.390000000065,plane,63772,2,practiceDistractor2,practiceTarget2,practice,5
1829.6999999993204,cat,65708,3,F,B,known,5
1957.6200000001409,fork,67771,4,I,G,known,5
1376.0050000000774,chair,69252,5,K,E,known,5
1654.5900000000838,die,71012,6,J,H,known,5
1371.0150000006252,shoe,72486,7,J,C,known,5
3039.8500000001077,shoe,75630,8,D,C,known,5
1400.340000000142,shoe,77135,9,A,C,known,5
1634.2100000001665,flower,78872,10,C,L,known,5
3550.280000000377,toy,82527,11,10,11,unknown,5
4808.489999999438,sculpture,87440,12,8,1,unknown,5
4647.3050000004005,dog toy,92191,13,7,4,unknown,5
4603.669999999518,clip,96898,14,5,6,unknown,5
3583.144999999611,waves,100586,15,5,3,unknown,5
1644.0500000007742,waves,102334,16,2,3,unknown,5
1450.7599999997183,waves,103888,17,12,3,unknown,5
4483.444999999847,bop it,108476,18,3,9,unknown,5
11024.505000001227,animal,113975,1,practiceDistractor1,practiceTarget1,practice,39
30195.120000003953,carries passengers,144279,2,practiceDistractor2,practiceTarget2,practice,39
7699.864999995043,animal,152087,3,A,B,known,39
10572.430000000168,gambling,162767,4,C,H,known,39
26951.139999997395,furniture,189823,5,I,E,known,39
75157.83000000374,pine,265088,6,F,J,known,39
94610.64999999508,living,359807,7,F,L,known,39
4509.765000002517,living,364426,8,D,L,known,39
38110.96499999985,flora,402644,9,K,L,known,39
17633.82499999716,eat,420386,10,L,G,known,39
16327.04499999818,long,436818,11,12,5,unknown,39
18612.825000003795,handle,455538,12,6,9,unknown,39
10523.349999995844,layers,466171,13,11,3,unknown,39
19225.485000002664,jar,485507,14,10,2,unknown,39
68347.5449999969,flat,553963,15,10,7,unknown,39
2157.2250000026543,flat,556227,16,8,7,unknown,39
4085.4749999998603,flat,560420,17,1,7,unknown,39
57028.25499999744,prickly,617556,18,7,4,unknown,39
12348.64000000013,bird,778341,1,practiceDistractor1,practiceTarget1,practice,12
2749.0550000001676,plane,781192,2,practiceDistractor2,practiceTarget2,practice,12
2471.924999997951,ring,783767,3,I,F,known,12
2820.189999998547,pen,786689,4,H,D,known,12
2439.344999998808,chair,789230,5,B,E,known,12
2271.5900000003166,apple,791603,6,J,A,known,12
3177.6800000007497,fork,794883,7,J,G,known,12
3032.790000001085,fork,798018,8,K,G,known,12
2495.1299999994226,fork,800615,9,C,G,known,12
5412.355000000331,flower,806130,10,G,L,known,12
3741.569999998319,toy,809973,11,1,5,unknown,12
7944.4949999997625,tool,818020,12,12,6,unknown,12
2621.354999999283,toy,820743,13,8,11,unknown,12
2291.659999998985,toy,823138,14,3,2,unknown,12
2276.6350000019884,toy,825518,15,3,4,unknown,12
2032.889999998617,toy,827654,16,7,4,unknown,12
2162.8850000015227,toy,829919,17,9,4,unknown,12
5679.719999999972,plung,835702,18,4,10,unknown,12
15000.739999988582,it is a bird pigeon,68304,1,practiceDistractor1,practiceTarget1,practice,10
15741.719999990892,it is a plane a big one,84152,2,practiceDistractor2,practiceTarget2,practice,10
9659.694999980275,it is just a cat,93921,3,H,B,known,10
4777.349999989383,a shoe,98807,4,A,C,known,10
5404.310000012629,a sunflower,104319,5,K,L,known,10
6372.280000010505,a white car,110799,6,G,I,known,10
6280.25999997044,a chair,117187,7,G,E,known,10
5746.080000011716,a wooden chair,123041,8,J,E,known,10
4469.715000013821,a wooden chair,127618,9,F,E,known,10
10631.059999985155,a pen not pencil,138357,10,E,D,known,10
35153.2700000098,I do not what it is but it is symmetric has 9 edges,173617,11,9,11,unknown,10
16989.31500001345,it is a vase but diagonal,190713,12,6,2,unknown,10
27040.640000021085,like a dumbbell,217861,13,7,5,unknown,10
20365.270000009332,looks like a microphone and you shake it,238333,14,8,10,unknown,10
29271.375000011176,looks like a virus kind of Y shaped,267712,15,8,4,unknown,10
7628.275000024587,Y shaped figure,275447,16,12,4,unknown,10
11006.389999995008,Y shaped looks like a virus,286561,17,1,4,unknown,10
10307.050000003073,looks like a glove but short,296975,18,4,3,unknown,10
31625.949999899603,the one with legs and a beak,64936,1,practiceDistractor1,practiceTarget1,practice,30
9013.599999947473,the one with wings that flies,74055,2,practiceDistractor2,practiceTarget2,practice,30
5320.2600000659,the animal,79485,3,F,B,known,30
5668.819999904372,you can eat it,85261,4,E,A,known,30
6777.980000013486,you wear it on your feet,92146,5,H,C,known,30
4261.805000016466,you eat with it,96515,6,J,G,known,30
4275.989999994636,you can drive it,100898,7,J,I,known,30
4750.785000040196,you can drive it,105756,8,K,I,known,30
5470.060000079684,you can drive it,111333,9,D,I,known,30
5755.065000033937,it is living,117195,10,I,L,known,30
11698.334999964572,it has many dull spikes,129000,11,2,11,unknown,30
10679.860000032932,a dog would chew it,139787,12,6,5,unknown,30
9309.574999962933,it has multiple joints,149204,13,4,12,unknown,30
9413.620000006631,there are multiple ridges,158721,14,7,3,unknown,30
23551.81000009179,you can baste with it,182381,15,7,10,unknown,30
5298.840000061318,you can baste with it,187784,16,1,10,unknown,30
4763.294999953359,you can baste with it,192655,17,8,10,unknown,30
12544.164999970235,it has multiple parts,205306,18,10,9,unknown,30
25730.990000010934,This is a blue square,53804,1,practiceDistractor1,practiceTarget1,practice,37
17790.77000002144,It is a blue square,71699,2,practiceDistractor2,practiceTarget2,practice,37
6912.450000003446,It is a pen,78715,3,B,D,known,37
8673.725000000559,It is an apple,87498,4,J,A,known,37
