rt,response,time_elapsed,trial,distractor,target,type,id
15930.010000010952,black and white object,258399,10,6,8,unknown,5
3977.629999993951,tree,262487,11,A,J,known,5
2832.399999999325,shoe,265431,12,D,C,known,5
2741.1399999982677,flower,268277,13,E,L,known,5
2072.025000001304,ring,270454,14,G,F,known,5
2340.199999991455,car,272902,15,G,I,known,5
1588.8150000100723,car,274599,16,B,I,known,5
1644.205000004149,car,276351,17,K,I,known,5
3794.949999995879,dice,280254,18,I,H,known,5
5649.269999936223,bird,23340,1,practiceDistractor1,practiceTarget1,practice,12
5579.444999922998,plane,29022,2,practiceDistractor2,practiceTarget2,practice,12
15503.655000007711,shoe,44628,3,8,7,unknown,12
5861.685000010766,statue,50592,4,12,1,unknown,12
9004.24500007648,ballon,59700,5,6,3,unknown,12
4047.915000002831,dog toy,63849,6,5,4,unknown,12
3520.439999992959,dog toy,67473,7,5,11,unknown,12
8944.999999948777,dog toy,76522,8,2,11,unknown,12
4127.104999963194,dog toy,80753,9,9,11,unknown,12
4814.520000014454,air pump,85670,10,11,10,unknown,12
2204.4999999925494,tree,87978,11,I,J,known,12
5268.455000012182,fork,93347,12,H,G,known,12
3636.2600000575185,butterfly,97087,13,E,K,known,12
2650.999999954365,ring,99842,14,B,F,known,12
2977.6150000980124,shoe,102922,15,B,C,known,12
2472.19000000041,shoe,105495,16,L,C,known,12
2433.9399999007583,shoe,108032,17,D,C,known,12
2645.5299999797717,apple,110780,18,C,A,known,12
16188.98000009358,The flying animal next to an onion,54053,1,practiceDistractor1,practiceTarget1,practice,26
10113.18500014022,The flying vehicle next to the guitar,64270,2,practiceDistractor2,practiceTarget2,practice,26
6993.750000139698,The shattered item,71370,3,1,8,unknown,26
10082.235000096262,End piece beside a blue folded piece,81558,4,7,6,unknown,26
13802.689999807626,Transparent orange see through item,95465,5,5,2,unknown,26
7484.175000106916,Multi color flippy thing,103054,6,12,3,unknown,26
4422.1000000834465,Black rubber shooter,107581,7,12,10,unknown,26
4296.634999802336,Black rubber shooter,111981,8,4,10,unknown,26
3969.9649999383837,Black rubber shooter,116056,9,9,10,unknown,26
2891.459999838844,Red chew toy,119051,10,10,11,unknown,26
5272.5700000301,Christmas item,124430,11,H,J,known,26
4895.2200000640005,Dining room furniture,129429,12,D,E,known,26
5658.835000125691,Wearable feet item,135193,13,K,C,known,26
7629.084999905899,Jewlrey for your fingers,142926,14,I,F,known,26
2715.1799998246133,Apple,145745,15,I,A,known,26
4837.379999924451,You core this item,150686,16,G,A,known,26
2682.9999999608845,You core this item,153475,17,L,A,known,26
1811.3800000865012,Meow,155391,18,A,B,known,26
9103.684999980032,pigeon,25534,1,practiceDistractor1,practiceTarget1,practice,36
5213.834999944083,plane,30853,2,practiceDistractor2,practiceTarget2,practice,36
5469.049999956042,green toy,36430,3,8,9,unknown,36
8680.325000081211,bulb pump,45215,4,12,10,unknown,36
5803.844999987632,orange clear toy,51128,5,6,2,unknown,36
5504.835000028834,blue winged toy,56741,6,1,7,unknown,36
12395.950000034645,red geometric object cleark,69244,7,1,11,unknown,36
5605.705000110902,red toy,74956,8,5,11,unknown,36
4213.965000002645,dark red toy,79276,9,3,11,unknown,36
6913.47000002861,spiky orange toy,86295,10,11,4,unknown,36
2186.7700000293553,cat,88588,11,J,B,known,36
2344.7500000474975,dice,91036,12,A,H,known,36
1561.1650000791997,pen,92707,13,I,D,known,36
2589.41000001505,chair,95404,14,K,E,known,36
1862.029999960214,ring,97372,15,K,F,known,36
1612.4549999367446,ring,99091,16,L,F,known,36
1542.2200000612065,rign,100740,17,C,F,known,36
1959.18000000529,fork,102803,18,F,G,known,36
20164.695000000167,select the pigeon,69262,1,practiceDistractor1,practiceTarget1,practice,30
7368.330000000002,select the airplane,76733,2,practiceDistractor2,practiceTarget2,practice,30
18400.889999999883,select the air pump,95237,3,3,10,unknown,30
10531.815000000046,select the green and orange toy,105877,4,1,9,unknown,30
34177.19000000009,select the red object with the stubby ends,140158,5,7,11,unknown,30
23855.284999999858,select the grey plastic part with the rounded edges,164118,6,5,6,unknown,30
24479.280000000028,select the grey object with the umbrellalike piece on top,188701,7,5,12,unknown,30
22047.149999999878,select the grey object with the umbrellalike piece on top,210854,8,4,12,unknown,30
17856.624999999884,select the grey object with the umbrellalike piece on top,228813,9,2,12,unknown,30
24464.604999999894,select the black and white object that appears to be cracked,253381,10,12,8,unknown,30
7232.240000000049,select the black shoe,260717,11,J,C,known,30
12342.009999999864,select the die showing the 6,273165,12,D,H,known,30
12255.879999999946,select the grey and white cat,285525,13,L,B,known,30
12781.079999999958,select the brown chair,298413,14,G,E,known,30
